SMILES,ChemBank_Name,GROUP,idCpd,FractionCSP3,MolWt,RingCount,TotalRing,NumBridges,nBondRings,nAtomRings,ringFusionDensity,ringFusionDegree,ringComplexityIndex,molecularCyclizedDegree,NumRingSystems,NumChiralCenters
O=C(c1ccc(Cl)cc1)c1oc2ccccc2c1-c1cnn(-c2ccccc2)c1,TimTec1_001229,CC,4565,0.0,398.84900000000005,5,28,1,27,26,0.07692307692307693,1.25,1.0769230769230769,0.896551724137931,4,0
O=c1c2ccccc2nc(SCc2ccc(F)cc2)n1-c1ccccc1,TimTec1_001230,CC,4566,0.047619047619047616,362.4290000000001,4,24,1,23,22,0.09090909090909091,1.3333333333333333,1.0909090909090908,0.8461538461538461,3,0
O=C(NCCc1ccc(S(=O)(=O)N2CCCC2)cc1)c1cccc2ccccc12,TimTec1_001231,CC,4567,0.2608695652173913,408.52300000000014,4,23,1,22,21,0.09523809523809523,1.3333333333333333,1.0952380952380953,0.7241379310344828,3,0
FC(F)(F)C1=Nc2ccccc2N(c2ccc(Cl)c(Cl)c2)C1,TimTec1_001232,CC,4568,0.13333333333333333,345.15100000000007,3,18,1,17,16,0.125,1.5,1.125,0.7272727272727273,2,0
Cc1cc(C)c(C#N)c(SCC(=O)N2CCCCC2)n1,TimTec1_001233,CC,4569,0.5333333333333333,289.404,2,12,0,12,12,0.0,1.0,1.0,0.6,2,0
CC1=C(C#N)C(c2cc(F)ccc2F)C(C(=O)OCc2ccccc2)=C(N)O1,TimTec1_001234,CC,4570,0.14285714285714285,382.36600000000004,3,18,0,18,18,0.0,1.0,1.0,0.6428571428571429,3,1
Cc1ccc(C(C)C)c(OCc2ccc(N)cc2)c1,TimTec1_001235,CC,4571,0.29411764705882354,255.36099999999996,2,12,0,12,12,0.0,1.0,1.0,0.631578947368421,2,0
COc1cc(OCCN2CCOCC2)ccc1C1C(C#N)=C(N)Oc2[n-]c(C(F)(F)F)nc21,TimTec1_001236,CC,4572,0.42857142857142855,464.42400000000015,4,23,1,22,21,0.09523809523809523,1.3333333333333333,1.0952380952380953,0.6363636363636364,3,1
CC1=CC(C)(C)NC(=S)N1c1ccc(C(C)C)cc1,TimTec1_001237,CC,4573,0.4375,274.433,2,12,0,12,12,0.0,1.0,1.0,0.631578947368421,2,0
CCCc1n[nH]c2c1C(c1c(Cl)noc1C)C(C#N)=C(N)N2c1ccccc1,TimTec1_001238,CC,4574,0.25,394.8660000000001,4,22,1,21,20,0.1,1.3333333333333333,1.1,0.7142857142857143,3,1
O=C([O-])c1cc(-c2ccccc2)nc2ccccc12,TimTec1_001239,CC,4575,0.0,248.26100000000002,3,18,1,17,16,0.125,1.5,1.125,0.8421052631578947,2,0
CC(C)OC(=O)c1cc(N)c2c(-c3ccc(F)cc3)c(-c3cccs3)sc2n1,TimTec1_001240,CC,4576,0.14285714285714285,412.511,4,22,1,21,20,0.1,1.3333333333333333,1.1,0.7142857142857143,3,0
N#CC1=C(N)Oc2[nH]c(-c3ccccc3)nc2C1c1ccc(OCC(N)=O)cc1,TimTec1_001241,CC,4577,0.09523809523809523,387.3990000000001,4,23,1,22,21,0.09523809523809523,1.3333333333333333,1.0952380952380953,0.7241379310344828,3,1
