SMILES,Molecular weight,Num chiral centers,ChiralCenterCount,Gram-negative,canvasUID,FractionCSP3,MolWt,RingCount,TotalRing,NumBridges,nBondRings,nAtomRings,ringFusionDensity,ringFusionDegree,ringComplexityIndex,molecularCyclizedDegree,NumRingSystems,NumChiralCenters
COC1(NC(=O)CSCC#N)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CSC21,471.539,2,2,1,523,0.5333333333333333,470.53800000000024,3,15,1,14,13,0.15384615384615385,1.5,1.1538461538461537,0.43333333333333335,2,2
CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)[O-])=C(CSc4nnnn4C)CSC23)c2ccc(O)cc2)C(=O)C1=O,645.677,3,3,1,524,0.4,644.6719999999998,5,27,1,26,25,0.08,1.25,1.08,0.5681818181818182,4,3
CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CSC12)c1csc(N)n1,455.471,2,2,1,525,0.375,454.46600000000024,3,15,1,14,13,0.15384615384615385,1.5,1.1538461538461537,0.43333333333333335,2,2
COC1(NC(=O)C2SC(=C(C(N)=O)C(=O)[O-])S2)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CSC21,575.623,3,1,1,526,0.4117647058823529,573.6160000000002,4,19,1,18,17,0.11764705882352941,1.3333333333333333,1.1176470588235294,0.4722222222222222,3,2
COC1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CSC21,427.458,2,2,1,527,0.375,426.45200000000017,3,15,1,14,13,0.15384615384615385,1.5,1.1538461538461537,0.4642857142857143,2,2
CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3cccc4c3CCC4)CSC12)c1csc(N)n1,514.586,2,2,1,528,0.36363636363636365,514.5890000000002,5,26,2,24,22,0.18181818181818182,1.6666666666666667,1.1818181818181819,0.6285714285714286,3,2
COCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)/C(=N\OC)c3csc(N)n3)C2SC1,427.461,2,2,1,529,0.4,426.45600000000013,3,15,1,14,13,0.15384615384615385,1.5,1.1538461538461537,0.4642857142857143,2,2
C/C=C/C1=C(C(=O)[O-])N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1,389.433,3,3,1,530,0.2777777777777778,388.42500000000007,3,16,1,15,14,0.14285714285714285,1.5,1.1428571428571428,0.5185185185185185,2,3
CC(C)(O/N=C(\C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12)c1csc(N)n1)C(=O)[O-],546.585,2,2,1,531,0.3181818181818182,545.5790000000002,4,21,1,20,19,0.10526315789473684,1.3333333333333333,1.105263157894737,0.5135135135135135,3,2
Nc1nc(/C(=C/CC(=O)[O-])C(=O)NC2C(=O)N3C(C(=O)[O-])=CCSC23)cs1,410.43,2,2,1,532,0.26666666666666666,408.41700000000014,3,15,1,14,13,0.15384615384615385,1.5,1.1538461538461537,0.48148148148148145,2,2
CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)[O-])=CCSC12)c1csc(N)n1,383.407,2,2,1,533,0.3076923076923077,382.4030000000001,3,15,1,14,13,0.15384615384615385,1.5,1.1538461538461537,0.52,2,2
Nc1nc(C(N=O)C(=O)NC2C(=O)N3C(C(=O)[O-])=C(/C=C4\CCN(C5CC[NH2+]C5)C4=O)CSC23)ns1,534.576,3,3,1,534,0.5,534.5800000000002,5,25,1,24,23,0.08695652173913043,1.25,1.0869565217391304,0.6388888888888888,4,4
CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CSC12)c1csc(N)n1,554.586,2,2,1,535,0.3333333333333333,552.5760000000001,4,21,1,20,19,0.10526315789473684,1.3333333333333333,1.105263157894737,0.5277777777777778,3,2
CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CSC12)c1ccco1,424.392,2,2,1,536,0.3125,423.3830000000002,3,15,1,14,13,0.15384615384615385,1.5,1.1538461538461537,0.4482758620689655,2,2
CC1=C(C(=O)[O-])N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1,347.396,3,3,1,537,0.3125,346.38800000000003,3,16,1,15,14,0.14285714285714285,1.5,1.1428571428571428,0.5833333333333334,2,3
CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,396.444,2,2,1,538,0.375,395.4380000000001,3,15,1,14,13,0.15384615384615385,1.5,1.1538461538461537,0.5,2,2
CC1=C(C(=O)[O-])N2C(=O)C(NC(=O)C(N)C3=CCC=CC3)C2SC1,349.412,3,3,1,539,0.4375,348.4040000000001,3,16,1,15,14,0.14285714285714285,1.5,1.1428571428571428,0.5833333333333334,2,3
CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)[O-])=C(Sc3nc(-c4cc[n+](C)cc4)cs3)CSC12)c1csc(N)n1,589.697,2,2,1,540,0.22727272727272727,589.7060000000001,5,26,1,25,24,0.08333333333333333,1.25,1.0833333333333333,0.631578947368421,4,2
COc1cc(Cc2cnc(N)nc2N)c2c(c1OC)OC(C1CC1)C=C2,354.412,1,0,1,541,0.3684210526315789,354.4100000000002,4,21,1,20,19,0.10526315789473684,1.3333333333333333,1.105263157894737,0.7307692307692307,3,1
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,290.325,0,0,1,542,0.2857142857142857,290.32300000000004,2,12,0,12,12,0.0,1.0,1.0,0.5714285714285714,2,0
